taskId,taskLabel,taskCategory,runId,engine,outcome,decision,domDistance,visualSimilarity,invariantPassed,repairedSelector,error,artifactDir
id-rename,ID rename (submit-btn -> confirm-pay-btn),UI_UPDATE,id-rename-run-5-1788018551962,HEURISTIC,PASS,,,,,#confirm-pay-btn,Heuristic matched candidate and action succeeded,dptr-experiments-scale/id-rename/id-rename-run-5-1788018551962
id-rename,ID rename (submit-btn -> confirm-pay-btn),UI_UPDATE,id-rename-run-5-1788018551962,DPTR,FAIL,REJECT_BUG,0.21705572916666668,0.25,true,,Best candidate failed invariant or visual checks (visual=0.25, invariant=true),dptr-experiments-scale/id-rename/id-rename-run-5-1788018551962
id-rename,ID rename (submit-btn -> confirm-pay-btn),UI_UPDATE,id-rename-run-6-1788018565362,NO_HEAL,FAIL,,,,,,,dptr-experiments-scale/id-rename/id-rename-run-6-1788018565362
id-rename,ID rename (submit-btn -> confirm-pay-btn),UI_UPDATE,id-rename-run-6-1788018565362,HEURISTIC,PASS,,,,,#confirm-pay-btn,Heuristic matched candidate and action succeeded,dptr-experiments-scale/id-rename/id-rename-run-6-1788018565362
id-rename,ID rename (submit-btn -> confirm-pay-btn),UI_UPDATE,id-rename-run-6-1788018565362,DPTR,FAIL,REJECT_BUG,0.21705572916666668,0.25,true,,Best candidate failed invariant or visual checks (visual=0.25, invariant=true),dptr-experiments-scale/id-rename/id-rename-run-6-1788018565362
id-rename,ID rename (submit-btn -> confirm-pay-btn),UI_UPDATE,id-rename-run-7-1788018578762,NO_HEAL,FAIL,,,,,,,dptr-experiments-scale/id-rename/id-rename-run-7-1788018578762
id-rename,ID rename (submit-btn -> confirm-pay-btn),UI_UPDATE,id-rename-run-7-1788018578762,HEURISTIC,PASS,,,,,#confirm-pay-btn,Heuristic matched candidate and action succeeded,dptr-experiments-scale/id-rename/id-rename-run-7-1788018578762
id-rename,ID rename (submit-btn -> confirm-pay-btn),UI_UPDATE,id-rename-run-7-1788018578762,DPTR,FAIL,REJECT_BUG,0.21705572916666668,0.25,true,,Best candidate failed invariant or visual checks (visual=0.25, invariant=true),dptr-experiments-scale/id-rename/id-rename-run-7-1788018578762
id-rename,ID rename (submit-btn -> confirm-pay-btn),UI_UPDATE,id-rename-run-8-1788018592144,NO_HEAL,FAIL,,,,,,,dptr-experiments-scale/id-rename/id-rename-run-8-1788018592144
id-rename,ID rename (submit-btn -> confirm-pay-btn),UI_UPDATE,id-rename-run-8-1788018592144,HEURISTIC,PASS,,,,,#confirm-pay-btn,Heuristic matched candidate and action succeeded,dptr-experiments-scale/id-rename/id-rename-run-8-1788018592144
id-rename,ID rename (submit-btn -> confirm-pay-btn),UI_UPDATE,id-rename-run-8-1788018592144,DPTR,FAIL,REJECT_BUG,0.21705572916666668,0.25,true,,Best candidate failed invariant or visual checks (visual=0.25, invariant=true),dptr-experiments-scale/id-rename/id-rename-run-8-1788018592144
id-rename,ID rename (submit-btn -> confirm-pay-btn),UI_UPDATE,id-rename-run-9-1788018605560,NO_HEAL,FAIL,,,,,,,dptr-experiments-scale/id-rename/id-rename-run-9-1788018605560
id-rename,ID rename (submit-btn -> confirm-pay-btn),UI_UPDATE,id-rename-run-9-1788018605560,HEURISTIC,PASS,,,,,#confirm-pay-btn,Heuristic matched candidate and action succeeded,dptr-experiments-scale/id-rename/id-rename-run-9-1788018605560
id-rename,ID rename (submit-btn -> confirm-pay-btn),UI_UPDATE,id-rename-run-9-1788018605560,DPTR,FAIL,REJECT_BUG,0.21705572916666668,0.25,true,,Best candidate failed invariant or visual checks (visual=0.25, invariant=true),dptr-experiments-scale/id-rename/id-rename-run-9-1788018605560
id-rename,ID rename (submit-btn -> confirm-pay-btn),UI_UPDATE,id-rename-run-10-1788018618910,NO_HEAL,FAIL,,,,,,,dptr-experiments-scale/id-rename/id-rename-run-10-1788018618910
id-rename,ID rename (submit-btn -> confirm-pay-btn),UI_UPDATE,id-rename-run-10-1788018618910,HEURISTIC,PASS,,,,,#confirm-pay-btn,Heuristic matched candidate and action succeeded,dptr-experiments-scale/id-rename/id-rename-run-10-1788018618910
id-rename,ID rename (submit-btn -> confirm-pay-btn),UI_UPDATE,id-rename-run-10-1788018618910,DPTR,FAIL,REJECT_BUG,0.21705572916666668,0.25,true,,Best candidate failed invariant or visual checks (visual=0.25, invariant=true),dptr-experiments-scale/id-rename/id-rename-run-10-1788018618910
text-change,Text change only,UI_UPDATE,text-change-run-1-1788018632327,NO_HEAL,PASS,,,,,,,dptr-experiments-scale/text-change/text-change-run-1-1788018632327
text-change,Text change only,UI_UPDATE,text-change-run-1-1788018632327,HEURISTIC,PASS,,,,,,,dptr-experiments-scale/text-change/text-change-run-1-1788018632327
text-change,Text change only,UI_UPDATE,text-change-run-1-1788018632327,DPTR,PASS,,,,,,,dptr-experiments-scale/text-change/text-change-run-1-1788018632327
text-change,Text change only,UI_UPDATE,text-change-run-2-1788018632917,NO_HEAL,PASS,,,,,,,dptr-experiments-scale/text-change/text-change-run-2-1788018632917
text-change,Text change only,UI_UPDATE,text-change-run-2-1788018632917,HEURISTIC,PASS,,,,,,,dptr-experiments-scale/text-change/text-change-run-2-1788018632917
text-change,Text change only,UI_UPDATE,text-change-run-2-1788018632917,DPTR,PASS,,,,,,,dptr-experiments-scale/text-change/text-change-run-2-1788018632917
text-change,Text change only,UI_UPDATE,text-change-run-3-1788018633501,NO_HEAL,PASS,,,,,,,dptr-experiments-scale/text-change/text-change-run-3-1788018633501
text-change,Text change only,UI_UPDATE,text-change-run-3-1788018633501,HEURISTIC,PASS,,,,,,,dptr-experiments-scale/text-change/text-change-run-3-1788018633501
text-change,Text change only,UI_UPDATE,text-change-run-3-1788018633501,DPTR,PASS,,,,,,,dptr-experiments-scale/text-change/text-change-run-3-1788018633501
text-change,Text change only,UI_UPDATE,text-change-run-4-1788018634085,NO_HEAL,PASS,,,,,,,dptr-experiments-scale/text-change/text-change-run-4-1788018634085
text-change,Text change only,UI_UPDATE,text-change-run-4-1788018634085,HEURISTIC,PASS,,,,,,,dptr-experiments-scale/text-change/text-change-run-4-1788018634085
text-change,Text change only,UI_UPDATE,text-change-run-4-1788018634085,DPTR,PASS,,,,,,,dptr-experiments-scale/text-change/text-change-run-4-1788018634085
text-change,Text change only,UI_UPDATE,text-change-run-5-1788018634651,NO_HEAL,PASS,,,,,,,dptr-experiments-scale/text-change/text-change-run-5-1788018634651
text-change,Text change only,UI_UPDATE,text-change-run-5-1788018634651,HEURISTIC,PASS,,,,,,,dptr-experiments-scale/text-change/text-change-run-5-1788018634651
text-change,Text change only,UI_UPDATE,text-change-run-5-1788018634651,DPTR,PASS,,,,,,,dptr-experiments-scale/text-change/text-change-run-5-1788018634651
text-change,Text change only,UI_UPDATE,text-change-run-6-1788018635251,NO_HEAL,PASS,,,,,,,dptr-experiments-scale/text-change/text-change-run-6-1788018635251
text-change,Text change only,UI_UPDATE,text-change-run-6-1788018635251,HEURISTIC,PASS,,,,,,,dptr-experiments-scale/text-change/text-change-run-6-1788018635251
text-change,Text change only,UI_UPDATE,text-change-run-6-1788018635251,DPTR,PASS,,,,,,,dptr-experiments-scale/text-change/text-change-run-6-1788018635251
text-change,Text change only,UI_UPDATE,text-change-run-7-1788018635834,NO_HEAL,PASS,,,,,,,dptr-experiments-scale/text-change/text-change-run-7-1788018635834
text-change,Text change only,UI_UPDATE,text-change-run-7-1788018635834,HEURISTIC,PASS,,,,,,,dptr-experiments-scale/text-change/text-change-run-7-1788018635834
text-change,Text change only,UI_UPDATE,text-change-run-7-1788018635834,DPTR,PASS,,,,,,,dptr-experiments-scale/text-change/text-change-run-7-1788018635834
text-change,Text change only,UI_UPDATE,text-change-run-8-1788018636418,NO_HEAL,PASS,,,,,,,dptr-experiments-scale/text-change/text-change-run-8-1788018636418
text-change,Text change only,UI_UPDATE,text-change-run-8-1788018636418,HEURISTIC,PASS,,,,,,,dptr-experiments-scale/text-change/text-change-run-8-1788018636418
text-change,Text change only,UI_UPDATE,text-change-run-8-1788018636418,DPTR,PASS,,,,,,,dptr-experiments-scale/text-change/text-change-run-8-1788018636418
text-change,Text change only,UI_UPDATE,text-change-run-9-1788018637001,NO_HEAL,PASS,,,,,,,dptr-experiments-scale/text-change/text-change-run-9-1788018637001
text-change,Text change only,UI_UPDATE,text-change-run-9-1788018637001,HEURISTIC,PASS,,,,,,,dptr-experiments-scale/text-change/text-change-run-9-1788018637001
text-change,Text change only,UI_UPDATE,text-change-run-9-1788018637001,DPTR,PASS,,,,,,,dptr-experiments-scale/text-change/text-change-run-9-1788018637001
text-change,Text change only,UI_UPDATE,text-change-run-10-1788018637584,NO_HEAL,PASS,,,,,,,dptr-experiments-scale/text-change/text-change-run-10-1788018637584
text-change,Text change only,UI_UPDATE,text-change-run-10-1788018637584,HEURISTIC,PASS,,,,,,,dptr-experiments-scale/text-change/text-change-run-10-1788018637584
text-change,Text change only,UI_UPDATE,text-change-run-10-1788018637584,DPTR,PASS,,,,,,,dptr-experiments-scale/text-change/text-change-run-10-1788018637584
overlay-block,Overlay blocking interaction,BUG,overlay-block-run-1-1788018638168,NO_HEAL,FAIL,,,,,,,dptr-experiments-scale/overlay-block/overlay-block-run-1-1788018638168
overlay-block,Overlay blocking interaction,BUG,overlay-block-run-1-1788018638168,HEURISTIC,FAIL,,,,,,Heuristic found no candidate or actions failed,dptr-experiments-scale/overlay-block/overlay-block-run-1-1788018638168
overlay-block,Overlay blocking interaction,BUG,overlay-block-run-1-1788018638168,DPTR,FAIL,REJECT_BUG,0.046666666666666655,0.072967032967033,false,,Best candidate failed invariant or visual checks (visual=0.072967032967033, invariant=false),dptr-experiments-scale/overlay-block/overlay-block-run-1-1788018638168
overlay-block,Overlay blocking interaction,BUG,overlay-block-run-2-1788018681565,NO_HEAL,FAIL,,,,,,,dptr-experiments-scale/overlay-block/overlay-block-run-2-1788018681565
overlay-block,Overlay blocking interaction,BUG,overlay-block-run-2-1788018681565,HEURISTIC,FAIL,,,,,,Heuristic found no candidate or actions failed,dptr-experiments-scale/overlay-block/overlay-block-run-2-1788018681565
overlay-block,Overlay blocking interaction,BUG,overlay-block-run-2-1788018681565,DPTR,FAIL,REJECT_BUG,0.046666666666666655,0.072967032967033,false,,Best candidate failed invariant or visual checks (visual=0.072967032967033, invariant=false),dptr-experiments-scale/overlay-block/overlay-block-run-2-1788018681565
overlay-block,Overlay blocking interaction,BUG,overlay-block-run-3-1788018724956,NO_HEAL,FAIL,,,,,,,dptr-experiments-scale/overlay-block/overlay-block-run-3-1788018724956
overlay-block,Overlay blocking interaction,BUG,overlay-block-run-3-1788018724956,HEURISTIC,FAIL,,,,,,Heuristic found no candidate or actions failed,dptr-experiments-scale/overlay-block/overlay-block-run-3-1788018724956
overlay-block,Overlay blocking interaction,BUG,overlay-block-run-3-1788018724956,DPTR,FAIL,REJECT_BUG,0.046666666666666655,0.072967032967033,false,,Best candidate failed invariant or visual checks (visual=0.072967032967033, invariant=false),dptr-experiments-scale/overlay-block/overlay-block-run-3-1788018724956
overlay-block,Overlay blocking interaction,BUG,overlay-block-run-4-1788018768363,NO_HEAL,FAIL,,,,,,,dptr-experiments-scale/overlay-block/overlay-block-run-4-1788018768363
overlay-block,Overlay blocking interaction,BUG,overlay-block-run-4-1788018768363,HEURISTIC,FAIL,,,,,,Heuristic found no candidate or actions failed,dptr-experiments-scale/overlay-block/overlay-block-run-4-1788018768363
overlay-block,Overlay blocking interaction,BUG,overlay-block-run-4-1788018768363,DPTR,FAIL,REJECT_BUG,0.046666666666666655,0.072967032967033,false,,Best candidate failed invariant or visual checks (visual=0.072967032967033, invariant=false),dptr-experiments-scale/overlay-block/overlay-block-run-4-1788018768363
overlay-block,Overlay blocking interaction,BUG,overlay-block-run-5-1788018811771,NO_HEAL,FAIL,,,,,,,dptr-experiments-scale/overlay-block/overlay-block-run-5-1788018811771
overlay-block,Overlay blocking interaction,BUG,overlay-block-run-5-1788018811771,HEURISTIC,FAIL,,,,,,Heuristic found no candidate or actions failed,dptr-experiments-scale/overlay-block/overlay-block-run-5-1788018811771
overlay-block,Overlay blocking interaction,BUG,overlay-block-run-5-1788018811771,DPTR,FAIL,REJECT_BUG,0.046666666666666655,0.072967032967033,false,,Best candidate failed invariant or visual checks (visual=0.072967032967033, invariant=false),dptr-experiments-scale/overlay-block/overlay-block-run-5-1788018811771
overlay-block,Overlay blocking interaction,BUG,overlay-block-run-6-1788018855176,NO_HEAL,FAIL,,,,,,,dptr-experiments-scale/overlay-block/overlay-block-run-6-1788018855176
overlay-block,Overlay blocking interaction,BUG,overlay-block-run-6-1788018855176,HEURISTIC,FAIL,,,,,,Heuristic found no candidate or actions failed,dptr-experiments-scale/overlay-block/overlay-block-run-6-1788018855176
overlay-block,Overlay blocking interaction,BUG,overlay-block-run-6-1788018855176,DPTR,FAIL,REJECT_BUG,0.046666666666666655,0.072967032967033,false,,Best candidate failed invariant or visual checks (visual=0.072967032967033, invariant=false),dptr-experiments-scale/overlay-block/overlay-block-run-6-1788018855176
overlay-block,Overlay blocking interaction,BUG,overlay-block-run-7-1788018898591,NO_HEAL,FAIL,,,,,,,dptr-experiments-scale/overlay-block/overlay-block-run-7-1788018898591
overlay-block,Overlay blocking interaction,BUG,overlay-block-run-7-1788018898591,HEURISTIC,FAIL,,,,,,Heuristic found no candidate or actions failed,dptr-experiments-scale/overlay-block/overlay-block-run-7-1788018898591
overlay-block,Overlay blocking interaction,BUG,overlay-block-run-7-1788018898591,DPTR,FAIL,REJECT_BUG,0.046666666666666655,0.072967032967033,false,,Best candidate failed invariant or visual checks (visual=0.072967032967033, invariant=false),dptr-experiments-scale/overlay-block/overlay-block-run-7-1788018898591
overlay-block,Overlay blocking interaction,BUG,overlay-block-run-8-1788018942009,NO_HEAL,FAIL,,,,,,,dptr-experiments-scale/overlay-block/overlay-block-run-8-1788018942009
overlay-block,Overlay blocking interaction,BUG,overlay-block-run-8-1788018942009,HEURISTIC,FAIL,,,,,,Heuristic found no candidate or actions failed,dptr-experiments-scale/overlay-block/overlay-block-run-8-1788018942009
overlay-block,Overlay blocking interaction,BUG,overlay-block-run-8-1788018942009,DPTR,FAIL,REJECT_BUG,0.046666666666666655,0.072967032967033,false,,Best candidate failed invariant or visual checks (visual=0.072967032967033, invariant=false),dptr-experiments-scale/overlay-block/overlay-block-run-8-1788018942009
overlay-block,Overlay blocking interaction,BUG,overlay-block-run-9-1788018985437,NO_HEAL,FAIL,,,,,,,dptr-experiments-scale/overlay-block/overlay-block-run-9-1788018985437
overlay-block,Overlay blocking interaction,BUG,overlay-block-run-9-1788018985437,HEURISTIC,FAIL,,,,,,Heuristic found no candidate or actions failed,dptr-experiments-scale/overlay-block/overlay-block-run-9-1788018985437
overlay-block,Overlay blocking interaction,BUG,overlay-block-run-9-1788018985437,DPTR,FAIL,REJECT_BUG,0.046666666666666655,0.072967032967033,false,,Best candidate failed invariant or visual checks (visual=0.072967032967033, invariant=false),dptr-experiments-scale/overlay-block/overlay-block-run-9-1788018985437
overlay-block,Overlay blocking interaction,BUG,overlay-block-run-10-1788019028824,NO_HEAL,FAIL,,,,,,,dptr-experiments-scale/overlay-block/overlay-block-run-10-1788019028824
overlay-block,Overlay blocking interaction,BUG,overlay-block-run-10-1788019028824,HEURISTIC,FAIL,,,,,,Heuristic found no candidate or actions failed,dptr-experiments-scale/overlay-block/overlay-block-run-10-1788019028824
overlay-block,Overlay blocking interaction,BUG,overlay-block-run-10-1788019028824,DPTR,FAIL,REJECT_BUG,0.046666666666666655,0.072967032967033,false,,Best candidate failed invariant or visual checks (visual=0.072967032967033, invariant=false),dptr-experiments-scale/overlay-block/overlay-block-run-10-1788019028824
handler-removed,Event handler removed,BUG,handler-removed-run-1-1788019072225,NO_HEAL,PASS,,,,,,,dptr-experiments-scale/handler-removed/handler-removed-run-1-1788019072225
handler-removed,Event handler removed,BUG,handler-removed-run-1-1788019072225,HEURISTIC,PASS,,,,,,,dptr-experiments-scale/handler-removed/handler-removed-run-1-1788019072225
handler-removed,Event handler removed,BUG,handler-removed-run-1-1788019072225,DPTR,PASS,,,,,,,dptr-experiments-scale/handler-removed/handler-removed-run-1-1788019072225
handler-removed,Event handler removed,BUG,handler-removed-run-2-1788019072831,NO_HEAL,PASS,,,,,,,dptr-experiments-scale/handler-removed/handler-removed-run-2-1788019072831
handler-removed,Event handler removed,BUG,handler-removed-run-2-1788019072831,HEURISTIC,PASS,,,,,,,dptr-experiments-scale/handler-removed/handler-removed-run-2-1788019072831
handler-removed,Event handler removed,BUG,handler-removed-run-2-1788019072831,DPTR,PASS,,,,,,,dptr-experiments-scale/handler-removed/handler-removed-run-2-1788019072831
handler-removed,Event handler removed,BUG,handler-removed-run-3-1788019073414,NO_HEAL,PASS,,,,,,,dptr-experiments-scale/handler-removed/handler-removed-run-3-1788019073414
handler-removed,Event handler removed,BUG,handler-removed-run-3-1788019073414,HEURISTIC,PASS,,,,,,,dptr-experiments-scale/handler-removed/handler-removed-run-3-1788019073414
handler-removed,Event handler removed,BUG,handler-removed-run-3-1788019073414,DPTR,PASS,,,,,,,dptr-experiments-scale/handler-removed/handler-removed-run-3-1788019073414
handler-removed,Event handler removed,BUG,handler-removed-run-4-1788019074015,NO_HEAL,PASS,,,,,,,dptr-experiments-scale/handler-removed/handler-removed-run-4-1788019074015
handler-removed,Event handler removed,BUG,handler-removed-run-4-1788019074015,HEURISTIC,PASS,,,,,,,dptr-experiments-scale/handler-removed/handler-removed-run-4-1788019074015
handler-removed,Event handler removed,BUG,handler-removed-run-4-1788019074015,DPTR,PASS,,,,,,,dptr-experiments-scale/handler-removed/handler-removed-run-4-1788019074015
handler-removed,Event handler removed,BUG,handler-removed-run-5-1788019074614,NO_HEAL,PASS,,,,,,,dptr-experiments-scale/handler-removed/handler-removed-run-5-1788019074614
handler-removed,Event handler removed,BUG,handler-removed-run-5-1788019074614,HEURISTIC,PASS,,,,,,,dptr-experiments-scale/handler-removed/handler-removed-run-5-1788019074614
handler-removed,Event handler removed,BUG,handler-removed-run-5-1788019074614,DPTR,PASS,,,,,,,dptr-experiments-scale/handler-removed/handler-removed-run-5-1788019074614
handler-removed,Event handler removed,BUG,handler-removed-run-6-1788019075214,NO_HEAL,PASS,,,,,,,dptr-experiments-scale/handler-removed/handler-removed-run-6-1788019075214
handler-removed,Event handler removed,BUG,handler-removed-run-6-1788019075214,HEURISTIC,PASS,,,,,,,dptr-experiments-scale/handler-removed/handler-removed-run-6-1788019075214
handler-removed,Event handler removed,BUG,handler-removed-run-6-1788019075214,DPTR,PASS,,,,,,,dptr-experiments-scale/handler-removed/handler-removed-run-6-1788019075214
handler-removed,Event handler removed,BUG,handler-removed-run-7-1788019075814,NO_HEAL,PASS,,,,,,,dptr-experiments-scale/handler-removed/handler-removed-run-7-1788019075814
handler-removed,Event handler removed,BUG,handler-removed-run-7-1788019075814,HEURISTIC,PASS,,,,,,,dptr-experiments-scale/handler-removed/handler-removed-run-7-1788019075814
handler-removed,Event handler removed,BUG,handler-removed-run-7-1788019075814,DPTR,PASS,,,,,,,dptr-experiments-scale/handler-removed/handler-removed-run-7-1788019075814
handler-removed,Event handler removed,BUG,handler-removed-run-8-1788019076397,NO_HEAL,PASS,,,,,,,dptr-experiments-scale/handler-removed/handler-removed-run-8-1788019076397
handler-removed,Event handler removed,BUG,handler-removed-run-8-1788019076397,HEURISTIC,PASS,,,,,,,dptr-experiments-scale/handler-removed/handler-removed-run-8-1788019076397
handler-removed,Event handler removed,BUG,handler-removed-run-8-1788019076397,DPTR,PASS,,,,,,,dptr-experiments-scale/handler-removed/handler-removed-run-8-1788019076397
handler-removed,Event handler removed,BUG,handler-removed-run-9-1788019076997,NO_HEAL,PASS,,,,,,,dptr-experiments-scale/handler-removed/handler-removed-run-9-1788019076997
handler-removed,Event handler removed,BUG,handler-removed-run-9-1788019076997,HEURISTIC,PASS,,,,,,,dptr-experiments-scale/handler-removed/handler-removed-run-9-1788019076997
handler-removed,Event handler removed,BUG,handler-removed-run-9-1788019076997,DPTR,PASS,,,,,,,dptr-experiments-scale/handler-removed/handler-removed-run-9-1788019076997
handler-removed,Event handler removed,BUG,handler-removed-run-10-1788019077597,NO_HEAL,PASS,,,,,,,dptr-experiments-scale/handler-removed/handler-removed-run-10-1788019077597
handler-removed,Event handler removed,BUG,handler-removed-run-10-1788019077597,HEURISTIC,PASS,,,,,,,dptr-experiments-scale/handler-removed/handler-removed-run-10-1788019077597
handler-removed,Event handler removed,BUG,handler-removed-run-10-1788019077597,DPTR,PASS,,,,,,,dptr-experiments-scale/handler-removed/handler-removed-run-10-1788019077597
